activity_id,day,date,exercise,movement_group,sets,total_reps,total_volume_lb,max_weight_lb,mean_weight_lb,min_weight_lb,max_set_volume_lb
24095842455,2,2026-08-24,Chest Press with Band,Chest press,3,39,1950.0,50.0,50.0,50.0,750.0
24095842455,2,2026-08-24,Crunch,Crunch,3,45,450.0,10.0,10.0,10.0,150.0
24095842455,2,2026-08-24,Dumbbell Biceps Curl,Biceps curl,3,45,450.0,10.0,10.0,10.0,150.0
24095842455,2,2026-08-24,Leg Press,Leg press,4,60,7500.0,175.0,125.0,100.0,2625.0
24095842455,2,2026-08-24,Row,Row,3,29,1450.0,50.0,50.0,50.0,600.0
24095842455,2,2026-08-24,Triceps Press-down,Triceps pressdown,3,30,1590.0,65.0,51.666666666666664,45.0,780.0
24095842455,2,2026-08-24,Weighted Seated Calf Raise,Calf raise,4,55,7250.0,200.0,137.5,100.0,2000.0
24095842455,2,2026-08-24,Weighted Static Back Extension,Back extension,3,45,5025.0,125.0,111.66666666666667,100.0,1875.0
24097428247,1,2026-08-22,Cable Biceps Curl,Biceps curl,3,37,1905.0,55.0,51.666666666666664,45.0,825.0
24097428247,1,2026-08-22,Chest Press with Band,Chest press,3,44,2200.0,50.0,50.0,50.0,750.0
24097428247,1,2026-08-22,Crunch,Crunch,2,30,300.0,10.0,10.0,10.0,150.0
24097428247,1,2026-08-22,Leg Press,Leg press,3,45,2925.0,65.0,65.0,65.0,975.0
24097428247,1,2026-08-22,Row,Row,3,45,2025.0,45.0,45.0,45.0,675.0
24097428247,1,2026-08-22,Triceps Press-down,Triceps pressdown,3,45,2925.0,65.0,65.0,65.0,975.0
24097428247,1,2026-08-22,Weighted Seated Calf Raise,Calf raise,3,45,2700.0,60.0,60.0,60.0,900.0
24097428247,1,2026-08-22,Weighted Static Back Extension,Back extension,3,45,3825.0,85.0,85.0,85.0,1275.0
24130689701,3,2026-08-26,Curl,Biceps curl,3,45,1800.0,40.0,40.0,40.0,600.0
24130689701,3,2026-08-26,Lat Pull-down,Lat pulldown,3,45,2775.0,75.0,61.666666666666664,55.0,1125.0
24130689701,3,2026-08-26,Leg Press,Leg press,4,55,9125.0,175.0,162.5,125.0,2625.0
24130689701,3,2026-08-26,Row,Row,3,45,1575.0,35.0,35.0,35.0,525.0
24130689701,3,2026-08-26,Suspension Chest Press,Chest press,3,45,2250.0,50.0,50.0,50.0,750.0
24130689701,3,2026-08-26,Weighted Crunch,Crunch,3,45,675.0,15.0,15.0,15.0,225.0
24130689701,3,2026-08-26,Weighted Seated Calf Raise,Calf raise,4,55,9500.0,200.0,168.75,125.0,3000.0
24130689701,3,2026-08-26,Weighted Static Back Extension,Back extension,3,45,5625.0,125.0,125.0,125.0,1875.0
