activity_id,day,date,movement_group,sets,total_reps,total_volume_lb,max_recorded_weight_lb,exercise_variants
24095842455,2,2026-08-24,Back extension,3,45,5025.0,125.0,1
24095842455,2,2026-08-24,Biceps curl,3,45,450.0,10.0,1
24095842455,2,2026-08-24,Calf raise,4,55,7250.0,200.0,1
24095842455,2,2026-08-24,Chest press,3,39,1950.0,50.0,1
24095842455,2,2026-08-24,Crunch,3,45,450.0,10.0,1
24095842455,2,2026-08-24,Leg press,4,60,7500.0,175.0,1
24095842455,2,2026-08-24,Row,3,29,1450.0,50.0,1
24095842455,2,2026-08-24,Triceps pressdown,3,30,1590.0,65.0,1
24097428247,1,2026-08-22,Back extension,3,45,3825.0,85.0,1
24097428247,1,2026-08-22,Biceps curl,3,37,1905.0,55.0,1
24097428247,1,2026-08-22,Calf raise,3,45,2700.0,60.0,1
24097428247,1,2026-08-22,Chest press,3,44,2200.0,50.0,1
24097428247,1,2026-08-22,Crunch,2,30,300.0,10.0,1
24097428247,1,2026-08-22,Leg press,3,45,2925.0,65.0,1
24097428247,1,2026-08-22,Row,3,45,2025.0,45.0,1
24097428247,1,2026-08-22,Triceps pressdown,3,45,2925.0,65.0,1
24130689701,3,2026-08-26,Back extension,3,45,5625.0,125.0,1
24130689701,3,2026-08-26,Biceps curl,3,45,1800.0,40.0,1
24130689701,3,2026-08-26,Calf raise,4,55,9500.0,200.0,1
24130689701,3,2026-08-26,Chest press,3,45,2250.0,50.0,1
24130689701,3,2026-08-26,Crunch,3,45,675.0,15.0,1
24130689701,3,2026-08-26,Lat pulldown,3,45,2775.0,75.0,1
24130689701,3,2026-08-26,Leg press,4,55,9125.0,175.0,1
24130689701,3,2026-08-26,Row,3,45,1575.0,35.0,1
